,R,B
0,232.04155815972223,226.61480034722223
1,186.1259765625,163.07736545138889
2,224.94520399305554,212.23079427083334
3,154.21668836805554,184.15093315972223
4,200.37293836805554,188.88953993055554
5,157.01041666666666,174.41710069444446
6,192.76920572916666,181.26182725694446
7,181.46712239583334,168.36469184027777
8,212.29058159722223,205.39767795138889
9,95.62098524305556,136.86284722222223
10,175.82931857638889,190.63747829861111
11,163.25737847222223,185.00965711805554
12,158.70399305555554,181.83192274305554
13,189.79535590277777,173.87250434027777
14,195.95930989583334,180.05023871527777
15,191.12836371527777,167.478515625
16,153.82541232638889,148.24197048611111
17,195.45985243055554,192.08018663194446
18,166.1513671875,180.71506076388889
19,137.9443359375,121.00217013888889
20,164.0185546875,184.7548828125
21,183.59809027777777,197.42024739583334
22,185.28830295138889,191.84505208333334
23,134.79296875,172.02387152777777
24,147.40809461805554,174.15570746527777
25,171.71950954861111,151.22884114583334
26,184.89366319444446,190.91438802083334
27,153.95833333333334,170.80349392361111
28,210.43185763888889,199.36056857638889
29,179.11794704861111,193.52983940972223
30,168.61111111111111,184.41905381944446
31,180.29090711805554,168.57671440972223
32,148.64225260416666,170.49858940972223
33,180.53049045138889,157.21028645833334
34,210.04090711805554,196.56575520833334
35,205.28917100694446,194.04361979166666
36,197.5517578125,182.1943359375
37,207.38292100694446,193.5517578125
38,223.95345052083334,214.01432291666666
39,167.45355902777777,150.51909722222223
40,129.22428385416666,164.76529947916666
41,143.76931423611111,170.95768229166666
42,176.36143663194446,190.81879340277777
43,129.49294704861111,165.06510416666666
44,188.75054253472223,177.88585069444446
45,247.71527777777777,246.51714409722223
46,192.76345486111111,196.16927083333334
47,228.69618055555554,219.3232421875
48,192.79904513888889,188.81174045138889
49,165.08843315972223,143.41351996527777
50,194.66482204861111,166.98122829861111
51,184.08702256944446,194.45540364583334
52,174.12489149305554,151.12651909722223
53,217.5595703125,206.82204861111111
54,224.42827690972223,213.49479166666666
55,197.91883680555554,187.87445746527777
56,191.54459635416666,181.44194878472223
